MERIDIAN M&A IT Intelligence Report - Full Data Export
Generated: 2026-02-21T01:33:57.053Z

=== DEAL METADATA ===
Field,Value
"Target Name","Tampa Bay Surgical Center Midtown"
"Industry","Healthcare"
"Deal Code","MRD-2026-001"
"Stage","Initial Screening"
"Status","on-track"
"Facility Count","1"
"User Count","0"
"Estimated Integration Cost",
"Composite Score","56.0"
"Overall Confidence","low"
"Documents Uploaded","57"
"Documents Analyzed","57"
"Created At","2026-02-20T19:24:58.646Z"

=== RISK PILLARS ===
Pillar Name,Score,Weight,Finding Count,Evidence Confidence,Confidence Label,Document Count,Score Cap
"Dell PowerEdge servers are visible but specific model numbers and generation are not clearly readabl","medium","open","Dell PowerEdge servers are visible but specific model numbers and generation are not clearly readable in the image

Risk Relevance: Cannot assess hardware age, warranty status, or end-of-life timeline without model identification, which impacts refresh planning and support costs

[Auto-detected from image analysis: IMG_1200.png]",,,1,"2026-02-20T20:55:53.934Z"
"Multiple servers appear to be stacked in close proximity without clear identification of redundancy ","medium","open","Multiple servers appear to be stacked in close proximity without clear identification of redundancy or clustering configuration

Risk Relevance: Unclear if there are single points of failure or adequate redundancy for critical systems, impacting business continuity risk assessment

[Auto-detected from image analysis: IMG_1200.png]",,,1,"2026-02-20T20:55:53.975Z"
"Cable management appears disorganized with multiple cables running in different directions without p","medium","open","Cable management appears disorganized with multiple cables running in different directions without proper bundling or labeling visible

Risk Relevance: Poor cable management increases risk of service disruptions during maintenance, makes troubleshooting difficult, and can indicate overall infrastructure management practices that may require remediation post-acquisition

[Auto-detected from image analysis: IMG_1204.png]",,,1,"2026-02-20T20:55:55.875Z"
"Documentation or labels appear to be present but are not clearly visible or organized in a standardi","medium","open","Documentation or labels appear to be present but are not clearly visible or organized in a standardized manner

Risk Relevance: Inadequate documentation and labeling of infrastructure components can lead to operational risks, increased maintenance costs, and difficulties during system integration or migration activities

[Auto-detected from image analysis: IMG_1204.png]",,,1,"2026-02-20T20:55:55.916Z"
"Server/network equipment deployed under desk in office environment rather than proper server room or","medium","open","Server/network equipment deployed under desk in office environment rather than proper server room or data center

Risk Relevance: Improper equipment placement creates physical security risks, inadequate environmental controls (temperature, humidity), increased risk of accidental damage, and potential compliance issues with data center standards

[Auto-detected from image analysis: IMG_1172.png]",,,1,"2026-02-20T20:55:59.110Z"
"Security camera visible but no identifying information about manufacturer, model, or firmware versio","medium","open","Security camera visible but no identifying information about manufacturer, model, or firmware version can be determined from the image

Risk Relevance: Unable to assess if camera firmware is up to date or if there are known security vulnerabilities without model identification. IP cameras are frequently targeted by attackers and often have poor security practices.

[Auto-detected from image analysis: IMG_1215.png]",,,1,"2026-02-20T20:56:17.155Z"
"Multiple pieces of rack-mounted equipment are visible but specific hardware models, manufacturers, a","medium","open","Multiple pieces of rack-mounted equipment are visible but specific hardware models, manufacturers, and firmware versions cannot be clearly identified from this image

Risk Relevance: Unable to assess hardware age, support status, or end-of-life risks without clear visibility of model numbers and specifications

[Auto-detected from image analysis: IMG_1201.png]",,,1,"2026-02-20T20:56:28.979Z"
"Wireless access point visible but no identifying information (model, manufacturer, firmware version)","medium","open","Wireless access point visible but no identifying information (model, manufacturer, firmware version) can be determined from the image

Risk Relevance: Unable to assess if this wireless infrastructure uses current, supported hardware or firmware versions. Outdated wireless equipment could pose security risks and compatibility issues post-merger

[Auto-detected from image analysis: IMG_1188.png]",,,1,"2026-02-20T20:56:48.918Z"
"Cable management appears disorganized with cables running in various directions without proper organ","medium","open","Cable management appears disorganized with cables running in various directions without proper organization or labeling visible

Risk Relevance: Poor cable management increases troubleshooting time, creates potential for service disruptions during moves/changes, and may indicate overall infrastructure maintenance issues

[Auto-detected from image analysis: IMG_1203.png]",,,1,"2026-02-20T20:57:23.676Z"
"Equipment appears to be older generation network hardware based on the physical form factor and inst","medium","open","Equipment appears to be older generation network hardware based on the physical form factor and installation style

Risk Relevance: Legacy networking equipment may have end-of-support issues, security vulnerabilities, performance limitations, and higher maintenance costs

[Auto-detected from image analysis: IMG_1203.png]",,,1,"2026-02-20T20:57:23.719Z"
"No clear environmental monitoring or security measures visible in the installation area","medium","open","No clear environmental monitoring or security measures visible in the installation area

Risk Relevance: Lack of environmental controls or physical security measures could lead to equipment failure or unauthorized access to critical network infrastructure

[Auto-detected from image analysis: IMG_1203.png]",,,1,"2026-02-20T20:57:23.762Z"
"Desktop computers are placed directly on carpeted flooring rather than proper workstation placement","medium","open","Desktop computers are placed directly on carpeted flooring rather than proper workstation placement

Risk Relevance: Improper equipment placement on carpet creates static electricity risks that could damage components, indicates poor IT equipment handling practices, and suggests lack of proper workspace organization standards

[Auto-detected from image analysis: IMG_1217.png]",,,1,"2026-02-20T20:57:38.456Z"
"Older generation desktop hardware visible, particularly the beige tower unit which appears to be leg","medium","open","Older generation desktop hardware visible, particularly the beige tower unit which appears to be legacy equipment

Risk Relevance: Legacy hardware may indicate end-of-life systems running outdated operating systems with security vulnerabilities, potential compatibility issues, and higher maintenance costs post-acquisition

[Auto-detected from image analysis: IMG_1217.png]",,,1,"2026-02-20T20:57:38.502Z"
"Physical documentation with network configuration details is placed unsecured on networking equipmen","medium","open","Physical documentation with network configuration details is placed unsecured on networking equipment

Risk Relevance: Sensitive network configuration information including IP addresses and routing details are physically exposed, creating potential security risks if unauthorized personnel gain access to the area

[Auto-detected from image analysis: IMG_1211.png]",,,1,"2026-02-20T20:57:50.834Z"
"Dense cable concentration without proper cable management trays or organized labeling visible","medium","open","Dense cable concentration without proper cable management trays or organized labeling visible

Risk Relevance: Poor cable management can lead to network outages during maintenance, difficulty troubleshooting issues, and increased risk of accidental disconnections during M&A integration activities

[Auto-detected from image analysis: IMG_1207.png]",,,1,"2026-02-20T20:58:17.955Z"
"Cannot identify specific switch models, firmware versions, or support status from the image","medium","open","Cannot identify specific switch models, firmware versions, or support status from the image

Risk Relevance: Unable to assess if networking equipment is current, supported, or approaching end-of-life, which could impact integration planning and future capital expenditure requirements

[Auto-detected from image analysis: IMG_1207.png]",,,1,"2026-02-20T20:58:18.058Z"
"Consumer-grade networking equipment visible instead of enterprise-grade infrastructure","medium","open","Consumer-grade networking equipment visible instead of enterprise-grade infrastructure

Risk Relevance: Indicates potential scalability limitations, reduced reliability, and lack of enterprise security features that would be expected in a business acquisition target

[Auto-detected from image analysis: IMG_1202.png]",,,1,"2026-02-20T20:58:31.556Z"
"Equipment appears to be mounted on residential-style surface rather than proper rack or telecom clos","medium","open","Equipment appears to be mounted on residential-style surface rather than proper rack or telecom closet

Risk Relevance: Indicates absence of professional IT infrastructure setup, suggesting potential reliability and maintenance issues

[Auto-detected from image analysis: IMG_1202.png]",,,1,"2026-02-20T20:58:31.656Z"
"Medical/clinical device visible but specific model, software version, and connectivity details are n","medium","open","Medical/clinical device visible but specific model, software version, and connectivity details are not clearly readable

Risk Relevance: Clinical devices often run embedded operating systems and may have network connectivity, creating potential cybersecurity risks and compliance requirements (HIPAA, FDA) that need assessment during M&A

[Auto-detected from image analysis: IMG_1174.png]",,,1,"2026-02-20T20:59:09.555Z"
"Unable to determine if device has network connectivity or what security controls are in place","medium","open","Unable to determine if device has network connectivity or what security controls are in place

Risk Relevance: Connected medical devices can be entry points for cyber attacks and may require specialized security measures and monitoring

[Auto-detected from image analysis: IMG_1174.png]",,,1,"2026-02-20T20:59:09.655Z"
"Unable to determine computer specifications, age, operating system, or security posture from externa","medium","open","Unable to determine computer specifications, age, operating system, or security posture from external view

Risk Relevance: Without visibility into hardware specifications or software versions, cannot assess potential end-of-life hardware, security vulnerabilities, or compatibility issues that may require capital investment post-acquisition

[Auto-detected from image analysis: IMG_1170.png]",,,1,"2026-02-20T20:59:30.755Z"
"Desktop computer running what appears to be an older version of Windows based on the classic Windows","medium","open","Desktop computer running what appears to be an older version of Windows based on the classic Windows logo wallpaper design

Risk Relevance: Older Windows versions may present security vulnerabilities and support lifecycle risks that could impact business continuity and cybersecurity posture post-acquisition

[Auto-detected from image analysis: IMG_1171.png]",,,1,"2026-02-20T21:00:22.354Z"
"Network equipment appears to be placed on an improper surface rather than properly rack-mounted or s","medium","open","Network equipment appears to be placed on an improper surface rather than properly rack-mounted or secured

Risk Relevance: Poor physical mounting and cable management can lead to equipment damage, accidental disconnections, and network outages. This suggests informal or inadequate infrastructure standards.

[Auto-detected from image analysis: IMG_1206.png]",,,1,"2026-02-20T21:01:06.255Z"
"Network credentials and router IP addresses are stored on physical printed labels that appear to be ","medium","open","Network credentials and router IP addresses are stored on physical printed labels that appear to be left unsecured on a desk or work surface

Risk Relevance: Physical exposure of network access credentials creates security risks as unauthorized personnel could gain network access. This suggests poor security practices for credential management that could extend across the organization.

[Auto-detected from image analysis: IMG_1212.png]",,,1,"2026-02-20T21:01:37.458Z"
"Router IP address 200.199.197.1/24 suggests use of public IP space for internal routing, which is un","medium","open","Router IP address 200.199.197.1/24 suggests use of public IP space for internal routing, which is unusual network configuration

Risk Relevance: Unconventional IP addressing schemes may indicate network misconfigurations, poor network design, or potential routing conflicts that could impact network reliability and security post-merger integration.

[Auto-detected from image analysis: IMG_1212.png]",,,1,"2026-02-20T21:01:37.654Z"
"Physical security concern - door prop open policy indicates potential security control bypass","medium","open","Physical security concern - door prop open policy indicates potential security control bypass

Risk Relevance: Doors being kept open can compromise physical security controls, potentially allowing unauthorized access to IT infrastructure areas, server rooms, or sensitive work areas. This could represent a gap in physical security policies that protect IT assets.

[Auto-detected from image analysis: IMG_1213.png]",,,1,"2026-02-20T21:01:52.742Z"
"Medical monitoring equipment visible but device model, software version, and security configuration ","medium","open","Medical monitoring equipment visible but device model, software version, and security configuration details are not clearly readable

Risk Relevance: Medical devices often run on embedded systems with potential cybersecurity vulnerabilities, may have weak default credentials, irregular patching schedules, and could be connected to hospital networks creating potential attack vectors

[Auto-detected from image analysis: IMG_1173.png]",,,1,"2026-02-20T21:02:08.155Z"
"Unable to determine if this medical device has proper network segmentation or security controls in p","medium","open","Unable to determine if this medical device has proper network segmentation or security controls in place

Risk Relevance: Medical devices connected to corporate networks without proper segmentation can serve as entry points for cyber attacks and may be subject to regulatory compliance requirements (HIPAA, FDA)

[Auto-detected from image analysis: IMG_1173.png]",,,1,"2026-02-20T21:02:08.255Z"
"Equipment appears to be older generation based on the beige/white color scheme and design aesthetic ","medium","open","Equipment appears to be older generation based on the beige/white color scheme and design aesthetic typical of legacy telecommunications hardware

Risk Relevance: Aging infrastructure may indicate higher maintenance costs, potential reliability issues, and possible end-of-life support challenges that could impact operational continuity post-acquisition

[Auto-detected from image analysis: IMG_1205.png]",,,1,"2026-02-20T21:02:54.154Z"
"Hardware appears to be older beige/tan colored equipment which may indicate legacy systems","medium","open","Hardware appears to be older beige/tan colored equipment which may indicate legacy systems

Risk Relevance: Older hardware may be approaching end-of-life, potentially creating support, security, and reliability risks that could impact business continuity and require capital investment post-acquisition

[Auto-detected from image analysis: IMG_1198.png]",,,1,"2026-02-20T21:03:48.155Z"
"Cannot clearly identify the specific model, firmware version, or end-of-life status of the visible n","medium","open","Cannot clearly identify the specific model, firmware version, or end-of-life status of the visible networking equipment

Risk Relevance: Unable to assess if network infrastructure components are current, supported, or represent security/operational risks without model and version visibility

[Auto-detected from image analysis: IMG_1210.png]",,,1,"2026-02-20T21:04:35.756Z"
"Unable to clearly identify specific network equipment models or manufacturers from the image quality","medium","open","Unable to clearly identify specific network equipment models or manufacturers from the image quality

Risk Relevance: Without clear equipment identification, it's difficult to assess hardware age, support status, or compatibility with acquiring company's infrastructure standards

[Auto-detected from image analysis: IMG_1204.png]",,,1,"2026-02-20T21:05:19.854Z"
"Domain controller infrastructure is visible and identifiable by labeling","medium","open","Domain controller infrastructure is visible and identifiable by labeling

Risk Relevance: Domain controllers are critical security infrastructure that manage authentication and access control across the network. Their physical accessibility and identification could represent a security risk if not properly secured.

[Auto-detected from image analysis: IMG_1199.png]",,,1,"2026-02-20T21:06:14.855Z"
"Equipment appears to be older generation based on color scheme and form factor","medium","open","Equipment appears to be older generation based on color scheme and form factor

Risk Relevance: Older infrastructure may indicate potential end-of-life hardware that could require replacement or upgrades post-acquisition, representing capital expenditure and operational risk.

[Auto-detected from image analysis: IMG_1199.png]",,,1,"2026-02-20T21:06:14.955Z"
"Server/network equipment installed in what appears to be an improper under-desk location rather than","medium","open","Server/network equipment installed in what appears to be an improper under-desk location rather than a proper server rack or data center environment

Risk Relevance: Improper equipment placement can lead to overheating, dust accumulation, physical security risks, and maintenance challenges. This could impact system reliability and availability during integration.

[Auto-detected from image analysis: IMG_1172.png]",,,1,"2026-02-20T21:07:08.355Z"
"Poor cable management with loose cables visible throughout the installation area","medium","open","Poor cable management with loose cables visible throughout the installation area

Risk Relevance: Poor cable management increases risk of accidental disconnection, makes troubleshooting difficult, and suggests lack of proper IT infrastructure standards. This could complicate integration efforts and increase operational risks.

[Auto-detected from image analysis: IMG_1172.png]",,,1,"2026-02-20T21:07:08.455Z"
"Equipment appears to be installed in a confined space without proper ventilation considerations","medium","open","Equipment appears to be installed in a confined space without proper ventilation considerations

Risk Relevance: Inadequate ventilation can lead to equipment overheating, reduced lifespan, and unexpected failures. This represents operational risk and potential unplanned replacement costs post-acquisition.

[Auto-detected from image analysis: IMG_1172.png]",,,1,"2026-02-20T21:07:08.554Z"
"Center Naming Consolidation","low","open","""Current Center"" and ""Midtown Center"" are both the same as ""Tampa Bay Surgical Center Midtown""",,,0,"2026-02-21T01:17:03.867Z"

=== TECHNOLOGY STACK ===
Category,Item Name,Version,Status,Confidence
"Networking","Meraki",,"current","high"
"Networking","Cisco",,"current","high"
"Security","Firewall",,"eol","high"
"Networking","Internet Bandwidth","2GB","current","high"
"Endpoints","Dell PowerEdge Servers",,"current","high"
"Endpoints","HP EliteDesk",,"current","medium"
"Telephony","Cisco IP Phone","7800/8800 series","current","high"
"Productivity","Toshiba MFP",,"current","high"
"Other","Mindray Patient Monitor",,"current","high"
"Other","Neptune System",,"current","medium"
"Other","Sterilizers",,"current","high"
"Security","Security Cameras",,"current","high"
"Other","Premier Network Devices",,"current","medium"
"Monitoring","Temperature/Humidity Monitor",,"current","medium"

=== BASELINE COMPARISONS ===
Standard Name,Current State,Gap Severity,Remediation Note,Estimated Cost

=== PLAYBOOK PHASES ===
Phase Name,Time Range,Status,Sort Order
"Pre-Close Discovery & Assessment","Day 1-30","pending",0
"Day-1 Readiness & Infrastructure Stabilization","Day 1-14","pending",1
"Infrastructure Migration & Modernization","Day 15-60","pending",2
"Application Integration & Medical System Connectivity","Day 30-90","pending",3
"Security & Compliance Hardening","Day 30-75","pending",4
"Steady State Operations & Optimization","Day 60-120","pending",5

=== PLAYBOOK TASKS ===
Task Name,Phase ID,Is Critical Path,Status,Sort Order
"Complete comprehensive wireless site survey to address identified AP positioning issues in OR and other areas","7c548ad8-2d02-4697-8c75-0906a2d16a74",Yes,"pending",0
"Document current Meraki infrastructure and inventory all network equipment in exposed server room","7c548ad8-2d02-4697-8c75-0906a2d16a74",Yes,"pending",1
"Assess current IT provider Lance's security credentials and document existing security posture","7c548ad8-2d02-4697-8c75-0906a2d16a74",No,"pending",2
"Evaluate EOL firewall capacity limitations with current 2GB bandwidth requirements","7c548ad8-2d02-4697-8c75-0906a2d16a74",Yes,"pending",3
"Document Dell PowerEdge servers, HP EliteDesk endpoints, and Cisco IP phones (7800/8800 series)","7c548ad8-2d02-4697-8c75-0906a2d16a74",No,"pending",4
"Assess medical equipment IT integration including Neptune System, sterilizers, and Mindray patient monitors","7c548ad8-2d02-4697-8c75-0906a2d16a74",No,"pending",5
"Replace EOL firewall to support full 2GB bandwidth capacity and improve security posture","97e9bb2e-80a5-4d30-bde0-1b96d4471a37",Yes,"pending",0
"Relocate and properly mount wireless APs in correct positions, especially in OR environments","97e9bb2e-80a5-4d30-bde0-1b96d4471a37",Yes,"pending",1
"Implement proper cable management in server rack and organize mixed cable infrastructure","97e9bb2e-80a5-4d30-bde0-1b96d4471a37",No,"pending",2
"Resolve Cisco IP phone error states displaying 'X' symbols on blue screens","97e9bb2e-80a5-4d30-bde0-1b96d4471a37",No,"pending",3
"Establish secure access controls for network infrastructure currently in exposed locations","97e9bb2e-80a5-4d30-bde0-1b96d4471a37",Yes,"pending",4
"Migrate and upgrade Meraki network infrastructure to support integrated operations","3445b9df-f289-43f6-8a34-cf0f14eaa330",Yes,"pending",0
"Relocate server room from carpeted office space to proper data center environment with climate control","3445b9df-f289-43f6-8a34-cf0f14eaa330",Yes,"pending",1
"Upgrade aging Dell PowerEdge servers and implement redundancy for critical systems","3445b9df-f289-43f6-8a34-cf0f14eaa330",Yes,"pending",2
"Standardize and refresh HP EliteDesk endpoint configurations across facility","3445b9df-f289-43f6-8a34-cf0f14eaa330",No,"pending",3
"Implement proper network segmentation for medical devices including sterilizer monitoring systems","3445b9df-f289-43f6-8a34-cf0f14eaa330",Yes,"pending",4
"Configure Toshiba MFP and other network-connected devices with proper security settings","3445b9df-f289-43f6-8a34-cf0f14eaa330",No,"pending",5
"Integrate Neptune System sterilization monitoring with centralized IT management","40e1a706-6235-4ca0-8d33-78d3244ba1ea",No,"pending",0
"Connect Mindray patient monitors to network infrastructure with proper VLAN segmentation","40e1a706-6235-4ca0-8d33-78d3244ba1ea",Yes,"pending",1
"Integrate building automation/HVAC control systems with IT infrastructure monitoring","40e1a706-6235-4ca0-8d33-78d3244ba1ea",No,"pending",2
"Establish centralized monitoring for temperature/humidity sensors and medical equipment","40e1a706-6235-4ca0-8d33-78d3244ba1ea",No,"pending",3
"Configure security camera system integration with network infrastructure","40e1a706-6235-4ca0-8d33-78d3244ba1ea",No,"pending",4
"Implement comprehensive security policies leveraging Lance's security expertise and credentials","06a51a21-30a1-4f17-967c-b57c78cda806",Yes,"pending",0
"Conduct security assessment of all medical devices and IoT equipment including sterilizers","06a51a21-30a1-4f17-967c-b57c78cda806",Yes,"pending",1
"Implement network access control and monitoring for all endpoints and medical devices","06a51a21-30a1-4f17-967c-b57c78cda806",Yes,"pending",2
"Establish backup and disaster recovery procedures for critical medical systems","06a51a21-30a1-4f17-967c-b57c78cda806",Yes,"pending",3
"Configure HIPAA-compliant logging and monitoring across all systems","06a51a21-30a1-4f17-967c-b57c78cda806",Yes,"pending",4
"Establish ongoing support model integrating current IT provider Lance with acquiring organization","21d71795-451a-4e4d-99b6-7e7ede194353",No,"pending",0
"Optimize Meraki network performance and implement advanced monitoring and analytics","21d71795-451a-4e4d-99b6-7e7ede194353",No,"pending",1
"Implement automated patch management for Dell servers, HP endpoints, and network infrastructure","21d71795-451a-4e4d-99b6-7e7ede194353",No,"pending",2
"Establish service level agreements for medical device connectivity and uptime requirements","21d71795-451a-4e4d-99b6-7e7ede194353",No,"pending",3
"Complete final documentation and knowledge transfer for integrated IT environment","21d71795-451a-4e4d-99b6-7e7ede194353",No,"pending",4

=== DOCUMENT INVENTORY ===
Filename,Original Filename,File Type,File Size,Classification,Upload Status,Page Count,Text Length,Extraction Status,Created At
"2026-01-12_16h14m08s_A-comprehensive-facility-assessment-covering-IT-infrastructure-medical-equip.md","2026-01-12_16h14m08s_A-comprehensive-facility-assessment-covering-IT-infrastructure-medical-equipment.md","text/markdown",23227,"IT Financial","uploaded",0,23227,"extracted","2026-02-20T19:40:07.787Z"
"IMG_1209.png",,"png",175734,"Asset Inventory","uploaded",0,705,"extracted","2026-02-20T19:40:40.240Z"
"2026-01-12_15h48m50s_Tour-of-a-facility.md",,"text/markdown",16858,"Backup & DR","uploaded",0,16858,"extracted","2026-02-20T19:40:07.991Z"
"2026-01-12_14h54m28s_Initial-greetings-a-detailed-discussion-about-IT-services-and-staffing-and-a.md","2026-01-12_14h54m28s_Initial-greetings-a-detailed-discussion-about-IT-services-and-staffing-and-a-sep.md","text/markdown",81397,"Vendor Contract","uploaded",0,81397,"extracted","2026-02-20T19:40:07.934Z"
"IMG_1183.png",,"png",196591,"Asset Inventory","uploaded",0,784,"extracted","2026-02-20T19:40:41.586Z"
"IMG_1208.png",,"png",202652,"Asset Inventory","uploaded",0,927,"extracted","2026-02-20T19:40:40.626Z"
"IMG_1197.png",,"png",147277,"Asset Inventory","uploaded",0,532,"extracted","2026-02-20T19:40:41.394Z"
"IMG_1182.png",,"png",196095,"Asset Inventory","uploaded",0,808,"extracted","2026-02-20T19:40:41.779Z"
"midtown.zip",,"application/zip",7811879,,"uploaded",0,0,"extracted","2026-02-20T19:40:39.690Z"
"IMG_1190.png",,"png",95974,"Unclassified","uploaded",0,465,"extracted","2026-02-20T19:40:44.287Z"
"IMG_1189.png",,"png",146829,"Organization & Staffing","uploaded",0,806,"extracted","2026-02-20T19:40:44.865Z"
"IMG_1219.png",,"png",150868,"Asset Inventory","uploaded",0,663,"extracted","2026-02-20T19:40:44.096Z"
"IMG_1201.png",,"png",152454,"Asset Inventory","uploaded",0,753,"extracted","2026-02-20T19:40:45.451Z"
"IMG_1198.png",,"png",154412,"Asset Inventory","uploaded",0,581,"extracted","2026-02-20T19:40:48.721Z"
"IMG_1171.png",,"png",167056,"Asset Inventory","uploaded",0,671,"extracted","2026-02-20T19:40:48.338Z"
"IMG_1206.png",,"png",157107,"Asset Inventory","uploaded",0,746,"extracted","2026-02-20T19:40:47.569Z"
"IMG_1204.png",,"png",159945,"Asset Inventory","uploaded",0,664,"extracted","2026-02-20T19:40:49.298Z"
"IMG_1217.png",,"png",147417,"Asset Inventory","uploaded",0,754,"extracted","2026-02-20T19:40:46.601Z"
"IMG_1180.png",,"png",111240,"OT/ICS Systems","uploaded",0,467,"extracted","2026-02-20T19:40:39.851Z"
"IMG_1169.png",,"png",142229,"Asset Inventory","uploaded",0,527,"extracted","2026-02-20T19:40:42.163Z"
"IMG_1194.png",,"png",140243,"Asset Inventory","uploaded",0,554,"extracted","2026-02-20T19:40:40.047Z"
"IMG_1193.png",,"png",147248,"Asset Inventory","uploaded",0,670,"extracted","2026-02-20T19:40:43.129Z"
"IMG_1181.png",,"png",162380,"Asset Inventory","uploaded",0,837,"extracted","2026-02-20T19:40:41.010Z"
"IMG_1220.png",,"png",112123,"Asset Inventory","uploaded",0,489,"extracted","2026-02-20T19:40:40.433Z"
"IMG_1168.png",,"png",120106,"Asset Inventory","uploaded",0,520,"extracted","2026-02-20T19:40:41.201Z"
"IMG_1195.png",,"png",160834,"Asset Inventory","uploaded",0,753,"extracted","2026-02-20T19:40:40.818Z"
"IMG_1196.png",,"png",185829,"Asset Inventory","uploaded",0,824,"extracted","2026-02-20T19:40:41.971Z"
"IMG_1179.png",,"png",137223,"Asset Inventory","uploaded",0,548,"extracted","2026-02-20T19:40:42.354Z"
"IMG_1192.png",,"png",139861,"Clinical Systems","uploaded",0,794,"extracted","2026-02-20T19:40:42.546Z"
"IMG_1186.png",,"png",185667,"Asset Inventory","uploaded",0,739,"extracted","2026-02-20T19:40:42.739Z"
"IMG_1214.png",,"png",151976,"Asset Inventory","uploaded",0,617,"extracted","2026-02-20T19:40:45.060Z"
"IMG_1187.png",,"png",162244,"Clinical Systems","uploaded",0,767,"extracted","2026-02-20T19:40:42.935Z"
"IMG_1178.png",,"png",149646,"Asset Inventory","uploaded",0,716,"extracted","2026-02-20T19:40:43.322Z"
"IMG_1185.png",,"png",178966,"Asset Inventory","uploaded",0,492,"extracted","2026-02-20T19:40:43.513Z"
"IMG_1184.png",,"png",147217,"Asset Inventory","uploaded",0,654,"extracted","2026-02-20T19:40:44.481Z"
"IMG_1191.png",,"png",130108,"Asset Inventory","uploaded",0,693,"extracted","2026-02-20T19:40:43.705Z"
"IMG_1173.png",,"png",133690,"Clinical Systems","uploaded",0,672,"extracted","2026-02-20T19:40:48.530Z"
"IMG_1205.png",,"png",174362,"Asset Inventory","uploaded",0,625,"extracted","2026-02-20T19:40:49.107Z"
"IMG_1218.png",,"png",169567,"Asset Inventory","uploaded",0,570,"extracted","2026-02-20T19:40:43.902Z"
"IMG_1210.png",,"png",174565,"Asset Inventory","uploaded",0,464,"extracted","2026-02-20T19:40:49.490Z"
"IMG_1175.png",,"png",114764,"Unclassified","uploaded",0,444,"extracted","2026-02-20T19:40:46.220Z"
"IMG_1177.png",,"png",153628,"Asset Inventory","uploaded",0,592,"extracted","2026-02-20T19:40:46.028Z"
"IMG_1203.png",,"png",160301,"Asset Inventory","uploaded",0,853,"extracted","2026-02-20T19:40:46.411Z"
"IMG_1200.png",,"png",158255,"Asset Inventory","uploaded",0,790,"extracted","2026-02-20T19:40:45.259Z"
"IMG_1216.png",,"png",146668,"Asset Inventory","uploaded",0,714,"extracted","2026-02-20T19:40:46.797Z"
"IMG_1174.png",,"png",143669,"Clinical Systems","uploaded",0,586,"extracted","2026-02-20T19:40:47.183Z"
"IMG_1199.png",,"png",145492,"Asset Inventory","uploaded",0,591,"extracted","2026-02-20T19:40:49.683Z"
"IMG_1176.png",,"png",130728,"Clinical Systems","uploaded",0,583,"extracted","2026-02-20T19:40:44.673Z"
"IMG_1202.png",,"png",160344,"Asset Inventory","uploaded",0,712,"extracted","2026-02-20T19:40:46.991Z"
"IMG_1172.png",,"png",140369,"Asset Inventory","uploaded",0,635,"extracted","2026-02-20T19:40:49.882Z"
"IMG_1215.png",,"png",121137,"Asset Inventory","uploaded",0,471,"extracted","2026-02-20T19:40:45.643Z"
"IMG_1188.png",,"png",116819,"Asset Inventory","uploaded",0,325,"extracted","2026-02-20T19:40:45.835Z"
"IMG_1211.png",,"png",139536,"Network Documentation","uploaded",0,506,"extracted","2026-02-20T19:40:48.913Z"
"IMG_1207.png",,"png",197888,"Asset Inventory","uploaded",0,747,"extracted","2026-02-20T19:40:48.146Z"
"IMG_1170.png",,"png",132910,"Asset Inventory","uploaded",0,553,"extracted","2026-02-20T19:40:47.376Z"
"IMG_1212.png",,"png",144487,"Network Documentation","uploaded",0,573,"extracted","2026-02-20T19:40:47.762Z"
"IMG_1213.png",,"png",139267,"Unclassified","uploaded",0,385,"extracted","2026-02-20T19:40:47.954Z"

=== TOPOLOGY NODES ===
Node Type,Label,Sublabel,Status
"target_hq","Current Center","Main facility under assessment","healthy"
"facility","Midtown Center","Secondary location","unknown"
"firewall","Firewall","Too old, can't handle 2Gbps","warning"
"switch","Meraki Switches","Standard equipment","healthy"
"switch","Network Switches","Multiple stacked units in rack","healthy"
"switch","Cisco Equipment","Server room installation","healthy"
"switch","Wireless Access Points","Some missing, bad battery, wrong positions in OR","warning"
"server","Dell PowerEdge Servers","Rack-mounted with green status LEDs","healthy"
"internet","Internet Connection","2Gbps bandwidth","warning"
"switch","SPD Room Connectivity","Single voice/data jack, no wireless","warning"

=== TOPOLOGY CONNECTIONS ===
Connection Type,Label,Bandwidth,Status
"internet","WAN connection","2Gbps","warning"
"lan","Internal network",,"healthy"
"lan","Network distribution",,"healthy"
"lan","AP connectivity",,"warning"
"lan","Server connectivity",,"healthy"
